city,province,Latitude,Longitude
خنداب,مركزی,34.7629999,48.206155
خوی,آذربایجان غربی,38.5504343,44.95354
خواجه,آذربایجان شرقی,38.1529122,46.5827856
خواجو شهر,كرمان,29.2730974,55.8314812
خواف,خراسان رضوی,34.5723166,60.1440373
خوانسار,اصفهان,33.22692,50.3146044
خور,اصفهان,33.7761331,55.0828304
خور,فارس,27.6459069,54.345362
خورزوق,اصفهان,32.77894605,51.640822427130274
خورسند,كرمان,30.1558292,55.0863353
خورموج,بوشهر,28.6543108,51.3758834
خوزی,فارس,27.4480198,52.9723728
خوسف,خراسان جنوبی,32.7792099,58.8879164
خوش رودپی,مازندران,36.3810371,52.6007896
خومه زار,فارس,30.0090201,51.5737978
دابودشت,مازندران,36.4792745,52.4496747
داراب,فارس,28.753194,54.548149
داران,اصفهان,32.9852558,50.4128266
داریان,فارس,29.5751121,52.89745177160898
دارخوین,خوزستان,30.7416962,48.4194934
دالکی,بوشهر,29.4307486,51.2925138
دامغان,سمنان,36.167451,54.3379993
دامنه,اصفهان,33.0178599,50.4893488
دانسفهان,قزوین,35.811396,49.7420921
داودآباد,مركزی,34.2922268,49.8553198
داورزن,خراسان رضوی,36.3512877,56.8762448
دیباج,سمنان,36.4282719,54.2294606
دبیران,فارس,28.4064149,54.1884143
درب بهشت,كرمان,29.2331911,57.3372473
درب گنبد,لرستان,33.6904944,47.1502234
درجزین,سمنان,35.6539439,53.3379876
درچه,اصفهان,32.6122831,51.5574338
درق,خراسان شمالی,36.9745545,56.2158601
درگز,خراسان رضوی,37.4470313,59.1064876
درگهان,هرمزگان,26.9674546,56.0778103
دره شهر,ایلام,33.1385109,47.3753599
درود,خراسان رضوی,36.1386891,59.1162125
دزج,کردستان,35.0641194,47.9661961
دیزج دیز,آذربایجان غربی,38.4614758,45.0252181
دیزیچه,اصفهان,32.3805576,51.5116857
دزفول,خوزستان,32.3780257,48.4032064
دژکرد,فارس,30.7231669,51.954873
دستجرد,قم,34.5504237,50.2473376
دستگرد,اصفهان,32.8015531,51.6640173
دستنا,چهارمحال و بختیاری,32.0599837,50.7709668
دشتی,هرمزگان,27.179885,53.0025795
دشتک,چهارمحال و بختیاری,32.1607711,50.4515108
دشتکار,كرمان,29.9067856,56.6622281
دیشموک,کهگیلویه و بویراحمد,,
